deployment_level, mach, cd
0,0.1,0
0,0.2,0
0,0.3,0
0,0.4,0
0,0.5,0
0,0.6,0
0,0.7,0
0,0.8,0
0,0.9,0
0.1,0.1,0.1203
0.1,0.2,0.1212
0.1,0.3,0.1227
0.1,0.4,0.1249
0.1,0.5,0.1277
0.1,0.6,0.1312
0.1,0.7,0.1354
0.1,0.8,0.1404
0.1,0.9,0.1463
0.2,0.1,0.2406
0.2,0.2,0.2424
0.2,0.3,0.2454
0.2,0.4,0.2498
0.2,0.5,0.2554
0.2,0.6,0.2624
0.2,0.7,0.2709
0.2,0.8,0.2809
0.2,0.9,0.2926
0.3,0.1,0.3609
0.3,0.2,0.3636
0.3,0.3,0.3682
0.3,0.4,0.3746
0.3,0.5,0.3831
0.3,0.6,0.3936
0.3,0.7,0.4063
0.3,0.8,0.4213
0.3,0.9,0.4389
0.4,0.1,0.4812
0.4,0.2,0.4848
0.4,0.3,0.4909
0.4,0.4,0.4995
0.4,0.5,0.5108
0.4,0.6,0.5248
0.4,0.7,0.5417
0.4,0.8,0.5618
0.4,0.9,0.5852
0.5,0.1,0.6015
0.5,0.2,0.606
0.5,0.3,0.6136
0.5,0.4,0.6244
0.5,0.5,0.6384
0.5,0.6,0.656
0.5,0.7,0.6771
0.5,0.8,0.7022
0.5,0.9,0.7315
0.6,0.1,0.7218
0.6,0.2,0.7272
0.6,0.3,0.7363
0.6,0.4,0.7493
0.6,0.5,0.7661
0.6,0.6,0.7872
0.6,0.7,0.8126
0.6,0.8,0.8427
0.6,0.9,0.8778
0.7,0.1,0.8421
0.7,0.2,0.8484
0.7,0.3,0.8591
0.7,0.4,0.8741
0.7,0.5,0.8938
0.7,0.6,0.9183
0.7,0.7,0.948
0.7,0.8,0.9831
0.7,0.9,1.0242
0.8,0.1,0.9624
0.8,0.2,0.9696
0.8,0.3,0.9818
0.8,0.4,0.999
0.8,0.5,1.0215
0.8,0.6,1.0495
0.8,0.7,1.0834
0.8,0.8,1.1236
0.8,0.9,1.1705
0.9,0.1,1.0827
0.9,0.2,1.0908
0.9,0.3,1.1045
0.9,0.4,1.1239
0.9,0.5,1.1492
0.9,0.6,1.1807
0.9,0.7,1.2189
0.9,0.8,1.264
0.9,0.9,1.3168
1,0.1,1.203
1,0.2,1.212
1,0.3,1.2272
1,0.4,1.2488
1,0.5,1.2769
1,0.6,1.3119
1,0.7,1.3543
1,0.8,1.4045
1,0.9,1.4631
