t,pressure
0,98275.6904899308
0.02,98275.6904899308
0.04,98275.6904899308
0.06,98275.6904899308
0.08,98275.6904899308
0.1,98275.6904899308
0.12,98275.6904899308
0.14,98275.6825030479
0.16,98275.41284957602
0.18,98274.75709178155
0.2,98273.71384617354
0.22,98272.28172186443
0.24,98270.45933150884
0.26,98268.24528600756
0.28,98265.63819874439
0.3,98262.63667956712
0.32,98259.23934197031
0.34,98255.44479497946
0.36,98251.25164913943
0.38,98246.65851517672
0.4,98241.67095881939
0.42,98236.28336812442
0.44,98230.49234436183
0.46,98224.29649921916
0.48,98217.69444473909
0.5,98210.68479193586
0.52,98203.26615520898
0.54,98195.43714313795
0.56,98187.19636675382
0.58,98178.54243767864
0.6,98169.47396610021
0.62,98159.9893793698
0.64,98150.08836919356
0.66,98139.76915130421
0.68,98129.03033493855
0.7000000000000001,98117.87053621703
0.72,98106.28836534645
0.74,98094.28242153184
0.76,98081.85133014759
0.78,98068.99368988382
0.8,98055.70810612105
0.8200000000000001,98041.99320319749
0.84,98027.84758217851
0.86,98013.2698613516
0.88,97998.25864376989
0.9,97982.81254560861
0.92,97966.95053007313
0.9400000000000001,97950.66335942438
0.96,97933.93801822759
0.98,97916.7731427334
1.0,97899.1673329505
1.02,97881.11920774002
1.04,97862.62738208767
1.06,97843.69048675128
1.08,97824.307131092
1.1,97804.4759388392
1.12,97784.19552607808
1.1400000000000001,97763.46452377753
1.16,97742.28153187882
1.18,97720.64520959089
1.2,97698.57732402786
1.22,97676.07981471073
1.24,97653.12583226198
1.26,97629.71401632125
1.28,97605.84299018588
1.3,97581.51138613783
1.32,97556.71783835685
1.34,97531.46098921099
1.36,97505.7394836931
1.3800000000000001,97479.55196238315
1.4000000000000001,97452.89707731598
1.42,97425.81098398152
1.44,97398.28330481391
1.46,97370.28765355937
1.48,97341.82370205902
1.5,97312.8911303729
1.52,97283.4896196381
1.54,97253.61885716522
1.56,97223.27853419875
1.58,97192.46834103677
1.6,97161.22075163024
1.62,97129.54546665521
1.6400000000000001,97097.40054147244
1.6600000000000001,97064.78568580415
1.68,97031.70061269971
1.7,96998.14503875161
1.72,96964.11868393201
1.74,96929.62127190836
1.76,96894.6860176335
1.78,96859.32927048478
1.8,96823.50177414503
1.82,96787.20326977427
1.84,96750.43349990423
1.86,96713.19222040461
1.8800000000000001,96675.47918575045
1.9000000000000001,96637.30805845953
1.92,96598.73930863028
1.94,96559.69918300344
1.96,96520.18746077527
1.98,96480.20392295897
2.0,96439.74835446916
2.02,96398.82054439436
2.04,96357.4667515411
2.06,96315.68619057782
2.08,96273.43381839823
2.1,96230.70943707226
2.12,96187.51285174477
2.14,96143.84387082754
2.16,96099.7331028797
2.18,96055.21357764455
2.2,96010.2222528536
2.22,95964.75919929234
2.24,95918.8245003037
2.2600000000000002,95872.41825066405
2.2800000000000002,95825.59171394563
2.3000000000000003,95778.33986826266
2.32,95730.61776525913
2.34,95682.42552724062
2.36,95633.76328318828
2.38,95584.636427108
2.4,95535.13323055785
2.42,95485.16139047948
2.44,95434.72106292594
2.46,95383.81241082912
2.48,95332.4356040384
2.5,95280.67585418382
2.52,95228.4643334672
2.54,95175.7861106223
2.56,95122.64137976723
2.58,95069.03033989949
2.6,95015.04299439723
2.62,94960.60307374604
2.64,94905.69834710122
2.66,94850.3290276499
2.68,94794.50709496086
2.7,94738.31450812619
2.72,94681.65893178698
2.74,94624.54191354617
2.7600000000000002,94566.96580413495
2.7800000000000002,94508.99055696343
2.8000000000000003,94450.61336783865
2.82,94391.78559576538
2.84,94332.50984898061
2.86,94272.80221924848
2.88,94212.7628525569
2.9,94152.3017258725
2.92,94091.4298187138
2.94,94030.15813886441
2.96,93968.59374678248
2.98,93906.67461581877
3.0,93844.38948862482
3.02,93781.74939321709
3.04,93718.84368298561
3.06,93655.64987473385
3.08,93592.13509442596
3.1,93528.31052776046
3.12,93464.2573752533
3.14,93399.97320769963
3.16,93335.41316449986
3.18,93270.58762567453
3.2,93205.5757629832
3.22,93140.37413288292
3.24,93074.93278283
3.2600000000000002,93009.2600476024
3.2800000000000002,92943.44422306397
3.3000000000000003,92877.46740896898
3.3200000000000003,92811.28521309412
3.34,92744.90612475645
3.36,92678.43427500686
3.38,92611.82281072407
3.4,92545.04050473028
3.42,92478.09559993431
3.44,92411.11255560623
3.46,92344.00136440364
3.48,92276.7487433465
3.5,92209.36632553498
3.52,92141.99118473269
3.54,92074.49586467654
3.56,92006.8874904914
3.58,91939.20726399402
3.6,91871.53508641478
3.62,91803.77149531395
3.64,91735.92354386015
3.66,91668.06492904585
3.68,91600.21103176079
3.7,91532.29411790226
3.72,91464.32116583384
3.74,91396.40088221134
3.7600000000000002,91328.47879729797
3.7800000000000002,91260.52153359956
3.8000000000000003,91192.53609201341
3.8200000000000003,91124.66694312793
3.84,91056.7871913397
3.86,90988.89920230786
3.88,90921.04231277006
3.9,90853.29935716352
3.92,90785.56541293827
3.94,90717.84470687024
3.96,90650.21051746396
3.98,90582.67029959039
4.0,90515.15556776868
4.0200000000000005,90447.6702066015
4.04,90380.3234032371
4.0600000000000005,90313.05027852548
4.08,90245.81837698421
4.1,90178.63156298453
4.12,90111.63339586592
4.14,90044.68936205594
4.16,89977.80175389812
4.18,89911.00631675805
4.2,89844.38362740919
4.22,89777.8284718622
4.24,89711.34468302682
4.26,89644.99918557015
4.28,89578.8095081121
4.3,89512.7022383343
4.32,89446.68937826074
4.34,89380.86898401193
4.36,89315.1962770072
4.38,89249.62276780975
4.4,89184.14792363465
4.42,89118.88868557979
4.44,89053.74905505111
4.46,88988.70682768933
4.48,88923.76255991717
4.5,88859.05272707944
4.5200000000000005,88794.43906908018
4.54,88729.9212496064
4.5600000000000005,88665.51944210815
4.58,88601.33059417036
4.6000000000000005,88537.23661132834
4.62,88473.23726831612
4.64,88409.36914428552
4.66,88345.69598162739
4.68,88282.11656030819
4.7,88218.63065486461
4.72,88155.2880319433
4.74,88092.1256158676
4.76,88029.05592595786
4.78,87966.07878121683
4.8,87903.25395325139
4.82,87840.59788050328
4.84,87778.03359733472
4.86,87715.5609243743
4.88,87653.24647707913
4.9,87591.09255194943
4.92,87529.02949456792
4.94,87467.05712330327
4.96,87405.24573351577
4.98,87343.58981068984
5.0,87282.02384554439
5.0200000000000005,87220.54766731111
5.04,87159.23212376634
5.0600000000000005,87098.07022171035
5.08,87036.9973861438
5.1000000000000005,86976.01344633759
5.12,86915.1866819562
5.14,86854.51493858291
5.16,86793.9313848459
5.18,86733.4358505464
5.2,86673.09087258646
5.22,86612.90550115671
5.24,86552.80744869751
5.26,86492.79655155537
5.28,86432.92644357154
5.3,86373.22375063907
5.32,86313.60752086411
5.34,86254.07759258107
5.36,86194.67548752612
5.38,86135.45182572048
5.4,86076.31378353584
5.42,86017.2612045511
5.44,85958.32027783841
5.46,85899.5720473424
5.48,85840.90860804582
5.5,85782.32980370263
5.5200000000000005,85723.84326191827
5.54,85665.56693789246
5.5600000000000005,85607.37458641546
5.58,85549.26605666195
5.6000000000000005,85491.24119101882
5.62,85433.41931298799
5.64,85375.69464288052
5.66,85318.05299052039
5.68,85260.49420162554
5.7,85203.11232233267
5.72,85145.85197315126
5.74,85088.67384739354
5.76,85031.57779346722
5.78,84974.6292299959
5.8,84917.82979928167
5.82,84861.11181110855
5.84,84804.47511707724
5.86,84747.95315810978
5.88,84691.61108453208
5.9,84635.34968190953
5.92,84579.16880593433
5.94,84523.06831516688
5.96,84467.17836746265
5.98,84411.36992316502
6.0,84355.64124853305
6.0200000000000005,84299.99220641957
6.04,84244.51407216868
6.0600000000000005,84189.15498466011
6.08,84133.87492247755
6.1000000000000005,84078.67374844817
6.12,84023.60074170753
6.140000000000001,83968.68740708393
6.16,83913.85236221479
6.18,83859.09547473272
6.2,83804.42096738923
6.22,83749.94981683996
6.24,83695.55623335116
6.26,83641.24008581023
6.28,83587.00123905891
6.3,83532.92502622408
6.32,83478.96939715535
6.34,83425.09049225399
6.36,83371.28817879557
6.38,83317.59605168246
6.4,83264.07492926756
6.42,83210.62983155999
6.44,83157.26062859918
6.46,83103.96719496691
6.48,83050.85610624598
6.5,82997.84138339825
6.5200000000000005,82944.90186751034
6.54,82892.03743456455
6.5600000000000005,82839.29624796132
6.58,82786.70840485366
6.6000000000000005,82734.19509029588
6.62,82681.75618410028
6.640000000000001,82629.39156183344
6.66,82577.21411352782
6.68,82525.12349050918
6.7,82473.10660924354
6.72,82421.16334866725
6.74,82369.34176197872
6.76,82317.670324681
6.78,82266.07197514617
6.8,82214.54659236746
6.82,82163.09406132154
6.84,82111.81900052736
6.86,82060.63572683418
6.88,82009.52477739085
6.9,81958.4860372646
6.92,81907.55310262418
6.94,81856.78143128399
6.96,81806.08144988821
6.98,81755.45304759817
7.0,81704.89610858608
7.0200000000000005,81654.49271817364
7.04,81604.20021820169
7.0600000000000005,81553.97867553662
7.08,81503.82797693188
7.1000000000000005,81453.75329116257
7.12,81403.86481164132
7.140000000000001,81354.04667605812
7.16,81304.2987731724
7.18,81254.62099680975
7.2,81205.05914064024
7.22,81155.64101264159
7.24,81106.292516899
7.26,81057.01354819833
7.28,81007.8039980536
7.3,80958.74587547853
7.32,80909.79343136653
7.34,80860.90992288777
7.36,80812.09524344516
7.38,80763.34929131239
7.4,80714.78587868817
7.42,80666.29447201978
7.44,80617.871315377
7.46,80569.516307922
7.48,80521.25435510473
7.5,80473.15173674138
7.5200000000000005,80425.11679689381
7.54,80377.14943582391
7.5600000000000005,80329.24955133183
7.58,80281.46647921177
7.6000000000000005,80233.81654082733
7.62,80186.23362046646
7.640000000000001,80138.7176179594
7.66,80091.26843659808
7.68,80043.95569248761
7.7,79996.75410081718
7.72,79949.61887527008
7.74,79902.54992016946
7.76,79855.54713747882
7.78,79808.6963517794
7.8,79761.93885946649
7.82,79715.24709602036
7.84,79668.62096533738
7.86,79622.06037463284
7.88,79575.66331849097
7.9,79529.34575921827
7.92,79483.09329969101
7.94,79436.90584810666
7.96,79390.78331039229
7.98,79344.83185802067
8.0,79298.95010899114
8.02,79253.13284459269
8.040000000000001,79207.3799725946
8.06,79161.69150096623
8.08,79116.17753571231
8.1,79070.72753753878
8.120000000000001,79025.34141746344
8.14,78980.01908494694
8.16,78934.76188003889
8.18,78889.67626587285
8.2,78844.65401959773
8.22,78799.69505657491
8.24,78754.79928826526
8.26,78709.9666291666
8.28,78665.30433275795
8.3,78620.70591049916
8.32,78576.17018488047
8.34,78531.69707128237
8.36,78487.28648298755
8.38,78443.03840934853
8.4,78398.85994985906
8.42,78354.74361316064
8.44,78310.68931421817
8.46,78266.69697092535
8.48,78222.85558065037
8.5,78179.09331554234
8.52,78135.39260637938
8.540000000000001,78091.75337189784
8.56,78048.17552881673
8.58,78004.73339619469
8.6,77961.3836303937
8.620000000000001,77918.09486584645
8.64,77874.86702088118
8.66,77831.70001663384
8.68,77788.64979955478
8.700000000000001,77745.70887429694
8.72,77702.82840226735
8.74,77660.00830540553
8.76,77617.24850370704
8.78,77574.5829435523
8.8,77532.04722808926
8.82,77489.57142950241
8.84,77447.15546932729
8.86,77404.79927179338
8.88,77362.51119532945
8.9,77320.37706468906
8.92,77278.30232102655
8.94,77236.28688933256
8.96,77194.33069272897
8.98,77152.43365781473
9.0,77110.67680832362
9.02,77068.99946475681
9.040000000000001,77027.38091421097
9.06,76985.82108386251
9.08,76944.31989858489
9.1,76902.92487126401
9.120000000000001,76861.64130076338
9.14,76820.41601434741
9.16,76779.24893811476
9.18,76738.14000150505
9.200000000000001,76697.09988352672
9.22,76656.20652120245
9.24,76615.37094121384
9.26,76574.59307354328
9.28,76533.87284596407
9.3,76493.21018824106
9.32,76452.67416605819
9.34,76412.22478256369
9.36,76371.83261817897
9.38,76331.49760506045
9.4,76291.21967226593
9.42,76251.02355714074
9.44,76210.95689991645
9.46,76170.94698026656
9.48,76130.99372873107
9.5,76091.09707776835
9.52,76051.25695924558
9.540000000000001,76011.54693855793
9.56,75971.91583996869
9.58,75932.34093661679
9.6,75892.82216026852
9.620000000000001,75853.35944601228
9.64,75813.97480407798
9.66,75774.71915752497
9.68,75735.5192387498
9.700000000000001,75696.37498277135
9.72,75657.28632404347
9.74,75618.25319823045
9.76,75579.33719616779
9.78,75540.50895264068
9.8,75501.7359135868
9.82,75463.01801654694
9.84,75424.35519680208
9.86,75385.75053041396
9.88,75347.29069010532
9.9,75308.88560492652
9.92,75270.53521178605
9.94,75232.23944876861
9.96,75193.99825240065
9.98,75155.84531131963
10.0,75117.80493580882
10.02,75079.81881162265
10.040000000000001,75041.88687646193
10.06,75004.00907015754
10.08,74966.1853306274
10.1,74928.47503730068
10.120000000000001,74890.85001747841
10.14,74853.2787536854
10.16,74815.7611848191
