t,pressure
0,92819.1
0.02,92649.0
0.04,92954.6
0.06,92621.1
0.08,92863.70000000001
0.1,92728.0
0.12,92943.6
0.14,93300.40000000001
0.16,93202.1
0.18,93135.6
0.2,92475.6
0.22,93048.90000000001
0.24,92479.40000000001
0.26,93215.20000000001
0.28,92348.1
0.3,93253.90000000001
0.32,92894.6
0.34,93169.20000000001
0.36,92754.8
0.38,92596.20000000001
0.4,93134.0
0.42,92910.70000000001
0.44,92502.20000000001
0.46,93505.0
0.48,92613.6
0.5,92090.8
0.52,92840.20000000001
0.54,92557.3
0.56,93003.70000000001
0.58,93201.70000000001
0.6,92745.40000000001
0.62,92191.3
0.64,92948.6
0.66,92889.5
0.68,92360.90000000001
0.7000000000000001,92445.90000000001
0.72,92499.90000000001
0.74,92828.8
0.76,92314.3
0.78,93284.0
0.8,92921.1
0.8200000000000001,92510.90000000001
0.84,92129.8
0.86,92922.8
0.88,92153.90000000001
0.9,92650.8
0.92,92254.0
0.9400000000000001,92798.8
0.96,92639.1
0.98,93037.5
1.0,92528.0
1.02,92501.8
1.04,92565.90000000001
1.06,93199.90000000001
1.08,92719.8
1.1,91930.6
1.12,92049.40000000001
1.1400000000000001,92953.1
1.16,92617.70000000001
1.18,92532.8
1.2,92780.6
1.22,92023.90000000001
1.24,92427.90000000001
1.26,92006.70000000001
1.28,92386.20000000001
1.3,92678.40000000001
1.32,92051.40000000001
1.34,91946.3
1.36,92350.40000000001
1.3800000000000001,92653.90000000001
1.4000000000000001,92306.20000000001
1.42,91717.6
1.44,92827.1
1.46,91742.90000000001
1.48,91454.70000000001
1.5,92227.6
1.52,91778.20000000001
1.54,92214.70000000001
1.56,92220.5
1.58,91896.0
1.6,91956.20000000001
1.62,91312.0
1.6400000000000001,91348.3
1.6600000000000001,92374.40000000001
1.68,91896.3
1.7,91575.70000000001
1.72,91527.0
1.74,91609.6
1.76,91948.70000000001
1.78,92517.3
1.8,91241.70000000001
1.82,91580.20000000001
1.84,91266.5
1.86,91038.20000000001
1.8800000000000001,91536.0
1.9000000000000001,91223.0
1.92,91367.5
1.94,90805.0
1.96,90940.3
1.98,91975.90000000001
2.0,90849.5
2.02,91073.70000000001
2.04,91471.8
2.06,90747.90000000001
2.08,91081.8
2.1,90459.3
2.12,90852.90000000001
2.14,91114.5
2.16,91390.0
2.18,91324.40000000001
2.2,91186.3
2.22,90097.70000000001
2.24,90273.3
2.2600000000000002,90877.40000000001
2.2800000000000002,90671.90000000001
2.3000000000000003,90585.3
2.32,91082.3
2.34,90562.40000000001
2.36,90412.5
2.38,90100.1
2.4,90730.20000000001
2.42,90290.20000000001
2.44,90440.6
2.46,89580.1
2.48,90683.90000000001
2.5,90131.3
2.52,89976.5
2.54,88957.5
2.56,90264.90000000001
2.58,90153.3
2.6,90465.6
2.62,89658.8
2.64,89718.6
2.66,89921.5
2.68,89167.70000000001
2.7,89304.1
2.72,90089.8
2.74,89389.20000000001
2.7600000000000002,88889.20000000001
2.7800000000000002,89432.90000000001
2.8000000000000003,88958.20000000001
2.82,89606.8
2.84,89692.90000000001
2.86,89166.90000000001
2.88,89154.90000000001
2.9,89423.40000000001
2.92,88872.8
2.94,89372.0
2.96,89224.5
2.98,88949.3
3.0,88019.0
3.02,88611.3
3.04,88881.70000000001
3.06,88610.90000000001
3.08,88930.1
3.1,88421.8
3.12,87607.0
3.14,88600.1
3.16,87663.40000000001
3.18,88066.40000000001
3.2,87953.90000000001
3.22,88325.0
3.24,88513.0
3.2600000000000002,87362.1
3.2800000000000002,87435.20000000001
3.3000000000000003,87126.40000000001
3.3200000000000003,88116.6
3.34,88202.5
3.36,88228.5
3.38,87326.40000000001
3.4,87152.3
3.42,86995.40000000001
3.44,86999.8
3.46,87285.20000000001
3.48,86853.5
3.5,87646.90000000001
3.52,87177.3
3.54,86672.0
3.56,87267.3
3.58,86903.6
3.6,86514.5
3.62,85899.6
3.64,86366.6
3.66,87059.1
3.68,86264.40000000001
3.7,86677.1
3.72,85597.1
3.74,85956.40000000001
3.7600000000000002,86207.0
3.7800000000000002,86678.90000000001
3.8000000000000003,85865.0
3.8200000000000003,86254.8
3.84,86804.5
3.86,85812.40000000001
3.88,85227.40000000001
3.9,85374.70000000001
3.92,85829.5
3.94,85860.8
3.96,86087.5
3.98,85634.5
4.0,85682.40000000001
4.0200000000000005,85520.20000000001
4.04,85545.70000000001
4.0600000000000005,85672.70000000001
4.08,86196.70000000001
4.1,85081.1
4.12,85097.8
4.14,85243.8
4.16,85419.5
4.18,85884.70000000001
4.2,85270.6
4.22,84877.1
4.24,85061.8
4.26,84804.5
4.28,84968.6
4.3,85025.8
4.32,84966.5
4.34,84445.90000000001
4.36,84096.0
4.38,84686.8
4.4,84579.6
4.42,84924.6
4.44,84104.6
4.46,84243.1
4.48,83645.0
4.5,84332.70000000001
4.5200000000000005,83655.8
4.54,83676.5
4.5600000000000005,84147.6
4.58,83705.70000000001
4.6000000000000005,83472.6
4.62,83656.5
4.64,83320.70000000001
4.66,83407.40000000001
4.68,82943.5
4.7,83024.8
4.72,83630.1
4.74,83098.3
4.76,82360.3
4.78,82512.90000000001
4.8,83221.40000000001
4.82,82810.0
4.84,83174.5
4.86,82901.90000000001
4.88,82912.70000000001
4.9,82645.6
4.92,82307.8
4.94,82607.5
4.96,83261.1
4.98,82725.90000000001
5.0,82704.3
5.0200000000000005,82909.1
5.04,82318.1
5.0600000000000005,82111.8
5.08,82103.20000000001
5.1000000000000005,82598.6
5.12,82089.8
5.14,82122.0
5.16,82123.8
5.18,81576.0
5.2,81280.8
5.22,81739.90000000001
5.24,82335.0
5.26,81936.40000000001
5.28,81998.70000000001
5.3,81344.70000000001
5.32,81664.1
5.34,82407.70000000001
5.36,82020.40000000001
5.38,81425.6
5.4,81396.6
5.42,81619.90000000001
5.44,81188.70000000001
5.46,80939.0
5.48,81250.20000000001
5.5,81367.0
5.5200000000000005,80698.3
5.54,81237.6
5.5600000000000005,80692.40000000001
5.58,81459.20000000001
5.6000000000000005,80351.40000000001
5.62,80149.40000000001
5.64,80814.20000000001
5.66,81093.20000000001
5.68,80804.20000000001
5.7,80253.70000000001
5.72,80969.6
5.74,80887.40000000001
5.76,80483.40000000001
5.78,80550.70000000001
5.8,80123.20000000001
5.82,80532.1
5.84,80053.20000000001
5.86,80333.1
5.88,80086.6
5.9,80202.6
5.92,80569.3
5.94,80210.3
5.96,79983.8
5.98,80161.70000000001
6.0,79787.1
6.0200000000000005,80253.3
6.04,79668.6
6.0600000000000005,79830.6
6.08,79084.8
6.1000000000000005,79619.0
6.12,79381.90000000001
6.140000000000001,79580.90000000001
6.16,79593.40000000001
6.18,79073.1
6.2,79036.1
6.22,78765.8
6.24,79216.6
6.26,79254.0
6.28,78596.2
6.3,78872.6
6.32,78945.1
6.34,78948.0
6.36,77997.6
6.38,78422.7
6.4,78638.6
6.42,79138.1
6.44,77891.7
6.46,78835.1
6.48,78405.2
6.5,78783.8
6.5200000000000005,78554.40000000001
6.54,78278.3
6.5600000000000005,77943.2
6.58,78259.2
6.6000000000000005,77915.0
6.62,78526.3
6.640000000000001,78031.3
6.66,78162.90000000001
6.68,78202.6
6.7,77651.1
6.72,78230.0
6.74,77810.5
6.76,77869.40000000001
6.78,77410.2
6.8,77854.2
6.82,77256.6
6.84,77614.2
6.86,77733.2
6.88,77529.90000000001
6.9,78289.0
6.92,77018.7
6.94,77784.1
6.96,77113.5
6.98,77308.0
7.0,77181.3
7.0200000000000005,77650.6
