time,CG
0,178.043
0.01,178.022
0.02,178.002
0.03,177.982
0.04,177.961
0.043,177.955
0.047,177.938
0.054,177.912
0.064,177.874
0.074,177.836
0.084,177.798
0.094,177.759
0.104,177.721
0.114,177.683
0.124,177.645
0.136,177.599
0.146,177.561
0.156,177.523
0.166,177.485
0.176,177.447
0.186,177.408
0.196,177.37
0.206,177.332
0.216,177.293
0.226,177.255
0.236,177.216
0.246,177.178
0.256,177.139
0.266,177.101
0.276,177.062
0.286,177.023
0.296,176.985
0.306,176.946
0.316,176.907
0.326,176.868
0.336,176.83
0.346,176.791
0.356,176.752
0.366,176.713
0.376,176.674
0.386,176.635
0.396,176.596
0.406,176.556
0.416,176.517
0.426,176.478
0.436,176.439
0.446,176.4
0.456,176.36
0.466,176.321
0.476,176.281
0.486,176.242
0.496,176.203
0.506,176.163
0.516,176.123
0.526,176.084
0.536,176.044
0.546,176.005
0.556,175.965
0.566,175.925
0.576,175.885
0.591,175.826
0.614,175.736
0.647,175.601
0.697,175.4
0.747,175.198
0.797,174.995
0.847,174.791
0.897,174.585
0.947,174.379
0.997,174.172
1.047,173.964
1.097,173.755
1.147,173.544
1.197,173.333
1.247,173.12
1.297,172.907
1.347,172.692
1.393,172.494
1.443,172.263
1.493,172.03
1.543,171.796
1.593,171.561
1.643,171.324
1.693,171.086
1.743,170.847
1.793,170.606
1.843,170.364
1.893,170.12
1.943,169.876
1.993,169.629
2.043,169.382
2.093,169.132
2.143,168.882
2.168,168.756
2.206,168.568
2.255,168.315
2.305,168.061
2.355,167.806
2.405,167.549
2.455,167.29
2.505,167.03
2.555,166.769
2.605,166.506
2.655,166.241
2.705,165.975
2.708,165.961
2.712,165.942
2.717,165.912
2.726,165.868
2.738,165.802
2.757,165.702
2.786,165.552
2.829,165.326
2.837,165.281
2.85,165.226
2.868,165.144
2.897,165.019
2.939,164.832
2.989,164.61
3.039,164.387
3.089,164.162
3.139,163.937
3.152,163.877
3.172,163.815
3.201,163.722
3.246,163.581
3.296,163.422
3.346,163.263
3.397,163.1
3.447,163.006
3.497,162.912
3.547,162.817
3.597,162.723
3.647,162.628
3.697,162.534
3.747,162.439
3.797,162.343
3.847,162.248
3.878,162.189
3.925,162.163
3.975,162.136
4.025,162.109
4.075,162.081
4.125,162.054
4.175,162.027
4.225,161.999
4.275,161.972
4.325,161.945
4.371,161.919
