# Atlas_v1.0 (Up to date)
# 1159 data points written for 5 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (26,4 m/s):  "main"
#
# Tempo (s),Massa (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CG (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,3.141e4,20.247,0.084,199.286
0.01,3.141e4,20.241,0.084,199.265
0.02,3.14e4,20.235,0.084,199.244
0.03,3.139e4,20.229,0.084,199.224
0.04,3.138e4,20.223,0.084,199.203
# Event LIFTOFF occurred at t=0.043 seconds
0.043,3.138e4,20.221,0.084,199.197
0.047,3.137e4,20.216,0.084,199.179
0.054,3.136e4,20.209,0.084,199.153
0.064,3.135e4,20.198,0.084,199.114
0.074,3.133e4,20.187,0.084,199.075
0.084,3.132e4,20.175,0.084,199.036
0.094,3.13e4,20.164,0.084,198.997
0.104,3.129e4,20.153,0.084,198.958
0.114,3.127e4,20.142,0.084,198.919
0.124,3.126e4,20.131,0.084,198.88
0.136,3.124e4,20.118,0.084,198.834
0.146,3.122e4,20.106,0.084,198.796
0.156,3.121e4,20.095,0.084,198.757
0.166,3.119e4,20.084,0.084,198.718
0.176,3.118e4,20.073,0.084,198.679
0.186,3.116e4,20.062,0.084,198.64
0.196,3.115e4,20.051,0.084,198.601
0.206,3.113e4,20.039,0.084,198.562
0.216,3.112e4,20.028,0.084,198.523
0.226,3.11e4,20.017,0.084,198.484
0.236,3.109e4,20.006,0.084,198.444
0.246,3.107e4,19.995,0.084,198.405
0.256,3.106e4,19.983,0.084,198.366
0.266,3.104e4,19.972,0.084,198.327
0.276,3.103e4,19.961,0.084,198.287
0.286,3.101e4,19.95,0.084,198.248
0.296,3.1e4,19.938,0.084,198.209
0.306,3.098e4,19.927,0.084,198.169
0.316,3.097e4,19.916,0.084,198.13
0.326,3.095e4,19.904,0.084,198.09
0.336,3.094e4,19.893,0.084,198.051
0.346,3.092e4,19.882,0.084,198.011
0.356,3.091e4,19.87,0.084,197.971
0.366,3.089e4,19.859,0.084,197.932
0.376,3.088e4,19.848,0.084,197.892
0.386,3.086e4,19.836,0.084,197.852
