time,mass
0.136,3.072e1
0.146,3.071e1
0.156,3.069e1
0.166,3.068e1
0.176,3.066e1
0.186,3.065e1
0.196,3.063e1
0.206,3.062e1
0.216,3.06e1
0.226,3.059e1
0.236,3.057e1
0.246,3.056e1
0.256,3.054e1
0.266,3.053e1
0.276,3.051e1
0.286,3.05e1
0.296,3.048e1
0.306,3.047e1
0.316,3.045e1
0.326,3.044e1
0.336,3.042e1
0.346,3.041e1
0.356,3.039e1
0.366,3.038e1
0.376,3.036e1
0.386,3.035e1
0.396,3.033e1
0.406,3.032e1
0.416,3.03e1
0.426,3.029e1
0.436,3.027e1
0.446,3.026e1
0.456,3.024e1
0.466,3.023e1
0.476,3.021e1
0.486,3.02e1
0.496,3.018e1
0.506,3.017e1
0.516,3.015e1
0.526,3.014e1
0.536,3.012e1
0.546,3.011e1
0.556,3.009e1
0.566,3.008e1
0.576,3.006e1
0.591,3.004e1
0.614,3e1
0.647,2.995e1
0.697,2.988e1
0.747,2.98e1
0.797,2.973e1
0.847,2.965e1
0.897,2.958e1
0.947,2.95e1
0.997,2.943e1
1.047,2.935e1
1.097,2.928e1
1.147,2.92e1
1.197,2.913e1
1.247,2.905e1
1.297,2.898e1
1.347,2.891e1
1.393,2.884e1
1.443,2.876e1
1.493,2.868e1
1.543,2.86e1
1.593,2.852e1
1.643,2.844e1
1.693,2.836e1
1.743,2.828e1
1.793,2.82e1
1.843,2.812e1
1.893,2.804e1
1.943,2.796e1
1.993,2.788e1
2.043,2.78e1
2.093,2.772e1
2.143,2.764e1
2.168,2.76e1
2.206,2.754e1
2.255,2.746e1
2.305,2.738e1
2.355,2.73e1
2.405,2.722e1
2.455,2.714e1
2.505,2.706e1
2.555,2.698e1
2.605,2.69e1
2.655,2.682e1
2.705,2.674e1
2.708,2.674e1
2.712,2.673e1
2.717,2.672e1
2.726,2.671e1
2.738,2.669e1
2.757,2.666e1
2.786,2.662e1
2.829,2.655e1
2.837,2.654e1
2.85,2.652e1
2.868,2.65e1
2.897,2.646e1
2.939,2.641e1
2.989,2.634e1
3.039,2.628e1
3.089,2.621e1
3.139,2.615e1
3.152,2.613e1
3.172,2.611e1
3.201,2.609e1
3.246,2.605e1
3.296,2.6e1
3.346,2.596e1
3.397,2.591e1
3.447,2.589e1
3.497,2.586e1
3.547,2.583e1
3.597,2.581e1
3.647,2.578e1
3.697,2.576e1
3.747,2.573e1
3.797,2.57e1
3.847,2.568e1
3.878,2.566e1
3.925,2.565e1
3.975,2.565e1
4.025,2.564e1
4.075,2.563e1
4.125,2.562e1
4.175,2.562e1
4.225,2.561e1
4.275,2.56e1
4.325,2.559e1
