# Simulation 1 (Up to date)
# 532 data points written for 3 variables.
#
# Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.389,0.015,131.035
2.388,0.015,131.027
2.387,0.015,130.997
# Event LIFTOFF occurred at t=0.03 seconds
2.384,0.015,130.954
2.382,0.015,130.912
2.38,0.015,130.87
2.377,0.015,130.828
2.375,0.015,130.787
2.373,0.015,130.746
2.371,0.015,130.705
2.368,0.015,130.663
2.366,0.015,130.621
2.364,0.015,130.578
2.361,0.015,130.535
2.359,0.015,130.493
2.357,0.015,130.45
2.354,0.015,130.407
2.352,0.015,130.364
2.349,0.015,130.321
2.347,0.015,130.278
2.345,0.015,130.234
2.342,0.015,130.191
2.34,0.015,130.147
2.338,0.015,130.103
2.335,0.015,130.058
2.333,0.015,130.014
2.33,0.015,129.97
2.328,0.015,129.926
2.325,0.015,129.881
2.323,0.015,129.837
2.321,0.015,129.792
2.318,0.015,129.748
2.316,0.015,129.703
2.313,0.015,129.658
2.311,0.015,129.612
2.308,0.015,129.567
2.306,0.015,129.522
2.303,0.015,129.477
2.301,0.015,129.431
2.298,0.015,129.386
2.296,0.015,129.34
2.293,0.015,129.295
2.291,0.015,129.249
2.288,0.015,129.203
# Event LAUNCHROD occurred at t=0.44 seconds
2.286,0.015,129.157
2.282,0.015,129.088
2.276,0.015,128.985
2.271,0.015,128.881
2.262,0.015,128.724
2.249,0.015,128.491
2.236,0.015,128.257
2.223,0.015,128.02
2.219,0.015,127.943
2.213,0.015,127.828
2.203,0.015,127.654
2.193,0.015,127.467
2.18,0.015,127.23
2.167,0.015,126.992
2.154,0.015,126.757
2.141,0.015,126.52
2.129,0.015,126.287
2.116,0.015,126.052
2.103,0.015,125.821
2.09,0.015,125.588
2.078,0.015,125.358
2.065,0.015,125.128
2.053,0.015,124.904
2.041,0.015,124.679
2.029,0.015,124.458
2.017,0.015,124.235
2.005,0.015,124.029
1.996,0.015,123.859
1.993,0.015,123.807
1.991,0.015,123.767
1.99,0.015,123.738
1.989,0.015,123.726
1.988,0.015,123.717
1.988,0.015,123.712
# Event BURNOUT occurred at t=1.7 seconds
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
1.988,0.015,123.71
