t,pressure
0,95301.20000000001
0.02,94277.90000000001
0.04,94363.3
0.06,94471.40000000001
0.08,94298.5
0.1,94647.6
0.12,94634.20000000001
0.14,94809.20000000001
0.16,94382.6
0.18,94840.20000000001
0.2,94304.90000000001
0.22,94749.3
0.24,94497.6
0.26,94809.20000000001
0.28,94792.6
0.3,94431.70000000001
0.32,94356.3
0.34,93807.8
0.36,94310.90000000001
0.38,94190.3
0.4,94847.90000000001
0.42,94950.20000000001
0.44,95306.70000000001
0.46,94046.0
0.48,94990.6
0.5,93732.70000000001
0.52,94639.1
0.54,94373.90000000001
0.56,94084.5
0.58,94189.1
0.6,94776.6
0.62,94652.6
0.64,94853.40000000001
0.66,94752.5
0.68,94324.70000000001
0.7000000000000001,93884.8
0.72,94752.0
0.74,94685.1
0.76,94830.20000000001
0.78,94999.3
0.8,94981.8
0.8200000000000001,94398.90000000001
0.84,94275.20000000001
0.86,93735.5
0.88,94938.0
0.9,94570.70000000001
0.92,94001.5
0.9400000000000001,94549.20000000001
0.96,94954.3
0.98,94429.3
1.0,93928.20000000001
1.02,94274.3
1.04,94360.90000000001
1.06,94112.6
1.08,94234.0
1.1,94141.90000000001
1.12,94774.0
1.1400000000000001,94166.5
1.16,95355.8
1.18,94813.1
1.2,94056.20000000001
1.22,95113.8
1.24,94689.1
1.26,94477.40000000001
1.28,94574.8
1.3,94749.3
1.32,94316.0
1.34,93890.1
1.36,94399.1
1.3800000000000001,94770.40000000001
1.4000000000000001,94363.20000000001
1.42,94895.1
1.44,94723.1
1.46,94155.1
1.48,94472.90000000001
1.5,94170.1
1.52,94095.1
1.54,94307.90000000001
1.56,94044.3
1.58,94725.20000000001
1.6,94687.3
1.62,94643.40000000001
1.6400000000000001,94849.70000000001
1.6600000000000001,94206.90000000001
1.68,93537.8
1.7,94467.40000000001
1.72,94840.5
1.74,94656.0
1.76,94841.5
1.78,94145.20000000001
1.8,94524.6
1.82,94553.90000000001
1.84,95109.3
1.86,94594.6
1.8800000000000001,93863.1
1.9000000000000001,94837.70000000001
1.92,94568.3
1.94,94825.90000000001
1.96,94724.70000000001
1.98,94621.0
2.0,93958.5
2.02,94498.40000000001
2.04,94050.0
2.06,94133.5
2.08,94520.70000000001
2.1,94664.3
2.12,94715.8
2.14,94268.20000000001
2.16,94365.70000000001
2.18,94941.70000000001
2.2,94096.40000000001
2.22,94314.40000000001
2.24,95149.20000000001
2.2600000000000002,93860.3
2.2800000000000002,94619.20000000001
2.3000000000000003,94210.0
2.32,94342.20000000001
2.34,94739.0
2.36,94231.6
2.38,94311.40000000001
2.4,94477.5
2.42,94613.20000000001
2.44,94044.0
2.46,94457.40000000001
2.48,94399.3
2.5,94959.0
2.52,94534.70000000001
2.54,95038.3
2.56,94073.90000000001
2.58,94667.0
2.6,95013.5
2.62,94413.0
2.64,94497.8
2.66,94689.1
2.68,94523.6
2.7,93796.70000000001
2.72,94334.90000000001
2.74,94994.20000000001
2.7600000000000002,94522.70000000001
2.7800000000000002,94769.3
2.8000000000000003,94315.5
2.82,95070.40000000001
2.84,94302.3
2.86,94443.1
2.88,94234.1
2.9,94637.5
2.92,95241.0
2.94,94393.5
2.96,94846.20000000001
2.98,94819.3
3.0,93991.20000000001
3.02,94460.6
3.04,94636.0
3.06,94294.70000000001
3.08,94572.70000000001
3.1,94237.20000000001
3.12,95309.20000000001
3.14,94598.6
