# Simulation 2 (Up to date)
# 430 data points written for 5 variables.
#
# Massa (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CG (cm),Calibri del margine di stabilita' (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2430.524,0.167,0.002,46.002,NaN
2429.758,0.167,0.002,45.993,NaN
2428.215,0.167,0.002,45.976,NaN
# Event LIFTOFF occurred at t=0.03 seconds
2426.651,0.167,0.002,45.959,NaN
2425.067,0.167,0.002,45.942,NaN
2423.461,0.167,0.002,45.924,NaN
2421.834,0.167,0.002,45.906,NaN
2420.187,0.167,0.002,45.888,NaN
2418.518,0.167,0.002,45.87,NaN
2416.827,0.166,0.002,45.851,NaN
2415.116,0.166,0.002,45.833,NaN
2413.383,0.166,0.002,45.813,NaN
2411.63,0.166,0.002,45.794,NaN
2409.854,0.166,0.002,45.774,NaN
2408.058,0.166,0.002,45.754,NaN
2406.241,0.166,0.002,45.734,NaN
2404.402,0.165,0.002,45.714,NaN
2402.542,0.165,0.002,45.693,NaN
2400.66,0.165,0.002,45.672,NaN
2398.758,0.165,0.002,45.651,NaN
2396.834,0.165,0.002,45.629,NaN
2394.889,0.165,0.002,45.607,NaN
2392.923,0.165,0.002,45.585,NaN
2390.936,0.164,0.002,45.563,NaN
# Event LAUNCHROD occurred at t=0.24 seconds
2388.928,0.164,0.002,45.54,1.505
2386.898,0.164,0.002,45.517,1.517
2384.848,0.164,0.002,45.494,1.53
2382.776,0.164,0.002,45.471,1.542
2380.684,0.164,0.002,45.447,1.554
2378.57,0.163,0.002,45.423,1.566
2376.436,0.163,0.002,45.398,1.577
2374.281,0.163,0.002,45.374,1.589
2372.105,0.163,0.002,45.349,1.601
2369.909,0.163,0.002,45.324,1.613
2367.691,0.163,0.002,45.298,1.625
2365.453,0.162,0.002,45.273,1.637
2363.195,0.162,0.002,45.247,1.648
2360.916,0.162,0.002,45.22,1.66
2358.617,0.162,0.002,45.194,1.671
2356.298,0.162,0.002,45.167,1.683
2353.958,0.162,0.002,45.14,1.695
2351.598,0.161,0.002,45.112,1.704
2349.219,0.161,0.002,45.084,1.714
2346.819,0.161,0.002,45.056,1.724
2344.399,0.161,0.002,45.028,1.734
2341.96,0.161,0.002,45,1.744
2339.501,0.16,0.002,44.971,1.756
2337.023,0.16,0.002,44.941,1.768
2334.525,0.16,0.002,44.912,1.779
2332.008,0.16,0.002,44.882,1.791
2329.471,0.16,0.002,44.852,1.793
2326.916,0.159,0.002,44.822,1.789
2324.342,0.159,0.002,44.791,1.785
2321.749,0.159,0.002,44.76,1.782
2319.137,0.159,0.002,44.729,1.78
2316.506,0.159,0.002,44.697,1.778
2313.858,0.158,0.002,44.666,1.78
2311.191,0.158,0.002,44.633,1.782
2308.506,0.158,0.002,44.601,1.784
2305.803,0.158,0.002,44.568,1.788
2303.082,0.157,0.002,44.535,1.792
2300.343,0.157,0.002,44.502,1.796
2297.587,0.157,0.002,44.468,1.8
2294.814,0.157,0.002,44.435,1.805
2292.023,0.157,0.002,44.4,1.811
2289.216,0.156,0.002,44.366,1.818
2286.392,0.156,0.002,44.331,1.825
2283.551,0.156,0.002,44.296,1.834
2280.693,0.156,0.002,44.261,1.843
2277.819,0.155,0.002,44.225,1.852
2274.929,0.155,0.002,44.189,1.862
2272.023,0.155,0.002,44.153,1.872
2269.102,0.155,0.002,44.116,1.882
2266.165,0.154,0.002,44.08,1.892
2263.212,0.154,0.002,44.043,1.903
2260.244,0.154,0.002,44.005,1.905
2257.262,0.154,0.002,43.968,1.906
2254.264,0.153,0.002,43.93,1.907
2251.252,0.153,0.002,43.891,1.909
2248.226,0.153,0.002,43.853,1.912
2245.185,0.153,0.002,43.814,1.915
2242.131,0.152,0.002,43.775,1.918
2239.063,0.152,0.002,43.736,1.922
2235.981,0.152,0.002,43.696,1.926
2232.886,0.151,0.002,43.656,1.932
2229.778,0.151,0.002,43.616,1.939
2226.657,0.151,0.002,43.575,1.946
2223.524,0.151,0.002,43.535,1.955
2220.378,0.15,0.002,43.494,1.964
2217.22,0.15,0.002,43.452,1.974
2214.05,0.15,0.002,43.411,1.984
2210.869,0.15,0.002,43.369,1.995
2207.676,0.149,0.002,43.327,1.998
2204.472,0.149,0.002,43.284,1.999
2201.257,0.149,0.002,43.242,2.002
# Event BURNOUT occurred at t=0.95 seconds
# Event EJECTION_CHARGE occurred at t=0.95 seconds
2199.647,0.149,0.002,43.22,2.002
2199.647,0.149,0.002,43.22,1.998
2199.647,0.149,0.002,43.22,1.997
2199.647,0.149,0.002,43.22,1.998
2199.647,0.149,0.002,43.22,2.001
2199.647,0.149,0.002,43.22,2.007
2199.647,0.149,0.002,43.22,2.011
2199.647,0.149,0.002,43.22,1.997
2199.647,0.149,0.002,43.22,1.996
2199.647,0.149,0.002,43.22,1.997
2199.647,0.149,0.002,43.22,2.001
2199.647,0.149,0.002,43.22,2.009
2199.647,0.149,0.002,43.22,2.006
2199.647,0.149,0.002,43.22,1.995
2199.647,0.149,0.002,43.22,1.994
2199.647,0.149,0.002,43.22,1.996
2199.647,0.149,0.002,43.22,2
2199.647,0.149,0.002,43.22,2.009
2199.647,0.149,0.002,43.22,2.001
2199.647,0.149,0.002,43.22,1.995
2199.647,0.149,0.002,43.22,1.995
2199.647,0.149,0.002,43.22,1.997
2199.647,0.149,0.002,43.22,2.003
2199.647,0.149,0.002,43.22,2.008
2199.647,0.149,0.002,43.22,1.998
2199.647,0.149,0.002,43.22,1.997
2199.647,0.149,0.002,43.22,2.001
2199.647,0.149,0.002,43.22,2.008
2199.647,0.149,0.002,43.22,2
2199.647,0.149,0.002,43.22,2
2199.647,0.149,0.002,43.22,2.005
2199.647,0.149,0.002,43.22,2.004
2199.647,0.149,0.002,43.22,2
2199.647,0.149,0.002,43.22,2.001
2199.647,0.149,0.002,43.22,2.005
2199.647,0.149,0.002,43.22,1.998
2199.647,0.149,0.002,43.22,1.999
2199.647,0.149,0.002,43.22,2.004
2199.647,0.149,0.002,43.22,2
2199.647,0.149,0.002,43.22,1.996
2199.647,0.149,0.002,43.22,1.999
2199.647,0.149,0.002,43.22,2.002
2199.647,0.149,0.002,43.22,1.995
2199.647,0.149,0.002,43.22,1.998
2199.647,0.149,0.002,43.22,2.001
2199.647,0.149,0.002,43.22,1.999
2199.647,0.149,0.002,43.22,1.996
2199.647,0.149,0.002,43.22,1.998
2199.647,0.149,0.002,43.22,2.001
2199.647,0.149,0.002,43.22,1.997
2199.647,0.149,0.002,43.22,1.998
2199.647,0.149,0.002,43.22,2
2199.647,0.149,0.002,43.22,2
2199.647,0.149,0.002,43.22,1.999
2199.647,0.149,0.002,43.22,1.999
2199.647,0.149,0.002,43.22,1.997
2199.647,0.149,0.002,43.22,1.995
2199.647,0.149,0.002,43.22,1.997
2199.647,0.149,0.002,43.22,1.994
2199.647,0.149,0.002,43.22,1.997
2199.647,0.149,0.002,43.22,1.992
2199.647,0.149,0.002,43.22,1.996
2199.647,0.149,0.002,43.22,1.996
2199.647,0.149,0.002,43.22,1.992
2199.647,0.149,0.002,43.22,1.99
2199.647,0.149,0.002,43.22,1.993
2199.647,0.149,0.002,43.22,1.994
2199.647,0.149,0.002,43.22,1.988
2199.647,0.149,0.002,43.22,1.986
2199.647,0.149,0.002,43.22,1.993
2199.647,0.149,0.002,43.22,1.995
2199.647,0.149,0.002,43.22,1.991
2199.647,0.149,0.002,43.22,1.987
2199.647,0.149,0.002,43.22,1.989
2199.647,0.149,0.002,43.22,1.991
2199.647,0.149,0.002,43.22,1.993
2199.647,0.149,0.002,43.22,1.991
2199.647,0.149,0.002,43.22,1.989
2199.647,0.149,0.002,43.22,1.99
2199.647,0.149,0.002,43.22,1.991
2199.647,0.149,0.002,43.22,1.993
2199.647,0.149,0.002,43.22,1.987
2199.647,0.149,0.002,43.22,1.986
2199.647,0.149,0.002,43.22,1.991
2199.647,0.149,0.002,43.22,1.992
2199.647,0.149,0.002,43.22,1.99
2199.647,0.149,0.002,43.22,1.989
2199.647,0.149,0.002,43.22,1.991
2199.647,0.149,0.002,43.22,1.989
2199.647,0.149,0.002,43.22,1.989
2199.647,0.149,0.002,43.22,1.99
2199.647,0.149,0.002,43.22,1.99
2199.647,0.149,0.002,43.22,1.99
2199.647,0.149,0.002,43.22,1.986
2199.647,0.149,0.002,43.22,1.99
2199.647,0.149,0.002,43.22,1.984
2199.647,0.149,0.002,43.22,1.983
2199.647,0.149,0.002,43.22,1.985
2199.647,0.149,0.002,43.22,1.989
2199.647,0.149,0.002,43.22,1.987
2199.647,0.149,0.002,43.22,1.99
2199.647,0.149,0.002,43.22,1.982
2199.647,0.149,0.002,43.22,1.975
2199.647,0.149,0.002,43.22,1.972
2199.647,0.149,0.002,43.22,1.974
2199.647,0.149,0.002,43.22,1.98
2199.647,0.149,0.002,43.22,1.987
2199.647,0.149,0.002,43.22,1.982
2199.647,0.149,0.002,43.22,1.974
2199.647,0.149,0.002,43.22,1.973
2199.647,0.149,0.002,43.22,1.972
2199.647,0.149,0.002,43.22,1.977
2199.647,0.149,0.002,43.22,1.983
2199.647,0.149,0.002,43.22,1.984
2199.647,0.149,0.002,43.22,1.983
2199.647,0.149,0.002,43.22,1.986
2199.647,0.149,0.002,43.22,1.988
2199.647,0.149,0.002,43.22,1.98
2199.647,0.149,0.002,43.22,1.984
2199.647,0.149,0.002,43.22,1.987
2199.647,0.149,0.002,43.22,1.981
2199.647,0.149,0.002,43.22,1.979
2199.647,0.149,0.002,43.22,1.97
2199.647,0.149,0.002,43.22,1.976
2199.647,0.149,0.002,43.22,1.979
2199.647,0.149,0.002,43.22,1.974
2199.647,0.149,0.002,43.22,1.972
2199.647,0.149,0.002,43.22,1.968
2199.647,0.149,0.002,43.22,1.977
2199.647,0.149,0.002,43.22,1.986
2199.647,0.149,0.002,43.22,1.985
2199.647,0.149,0.002,43.22,1.982
2199.647,0.149,0.002,43.22,1.982
2199.647,0.149,0.002,43.22,1.965
2199.647,0.149,0.002,43.22,1.959
2199.647,0.149,0.002,43.22,1.962
2199.647,0.149,0.002,43.22,1.97
2199.647,0.149,0.002,43.22,1.982
2199.647,0.149,0.002,43.22,1.979
2199.647,0.149,0.002,43.22,1.97
2199.647,0.149,0.002,43.22,1.971
2199.647,0.149,0.002,43.22,1.969
2199.647,0.149,0.002,43.22,1.971
2199.647,0.149,0.002,43.22,1.965
2199.647,0.149,0.002,43.22,1.963
2199.647,0.149,0.002,43.22,1.981
2199.647,0.149,0.002,43.22,1.971
2199.647,0.149,0.002,43.22,1.97
2199.647,0.149,0.002,43.22,1.97
2199.647,0.149,0.002,43.22,1.965
2199.647,0.149,0.002,43.22,1.983
2199.647,0.149,0.002,43.22,1.974
2199.647,0.149,0.002,43.22,1.968
2199.647,0.149,0.002,43.22,1.965
2199.647,0.149,0.002,43.22,1.953
2199.647,0.149,0.002,43.22,1.955
2199.647,0.149,0.002,43.22,1.958
2199.647,0.149,0.002,43.22,1.958
2199.647,0.149,0.002,43.22,1.954
2199.647,0.149,0.002,43.22,1.966
2199.647,0.149,0.002,43.22,1.971
2199.647,0.149,0.002,43.22,1.964
2199.647,0.149,0.002,43.22,1.963
2199.647,0.149,0.002,43.22,1.965
2199.647,0.149,0.002,43.22,1.947
2199.647,0.149,0.002,43.22,1.937
2199.647,0.149,0.002,43.22,1.935
2199.647,0.149,0.002,43.22,1.913
2199.647,0.149,0.002,43.22,1.901
2199.647,0.149,0.002,43.22,1.888
2199.647,0.149,0.002,43.22,1.866
2199.647,0.149,0.002,43.22,1.859
2199.647,0.149,0.002,43.22,1.836
2199.647,0.149,0.002,43.22,1.825
2199.647,0.149,0.002,43.22,1.806
2199.647,0.149,0.002,43.22,1.781
2199.647,0.149,0.002,43.22,1.742
2199.647,0.149,0.002,43.22,1.722
2199.647,0.149,0.002,43.22,1.713
2199.647,0.149,0.002,43.22,1.68
2199.647,0.149,0.002,43.22,1.65
2199.647,0.149,0.002,43.22,1.613
2199.647,0.149,0.002,43.22,1.574
2199.647,0.149,0.002,43.22,1.534
2199.647,0.149,0.002,43.22,1.502
2199.647,0.149,0.002,43.22,1.469
2199.647,0.149,0.002,43.22,1.433
2199.647,0.149,0.002,43.22,1.388
2199.647,0.149,0.002,43.22,1.352
2199.647,0.149,0.002,43.22,1.312
2199.647,0.149,0.002,43.22,1.276
2199.647,0.149,0.002,43.22,1.247
# Event APOGEE occurred at t=9.862 seconds
2199.647,0.149,0.002,43.22,1.225
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=9.863 seconds
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
2199.647,0.149,0.002,43.22,-5.085
