t,pressure
0,100000.0
0.02,100000.0
0.04,100000.0
0.06,100000.0
0.08,100000.0
0.1,100000.0
0.12,100000.0
0.14,100000.0
0.16,100000.0
0.18,100000.0
0.2,100000.0
0.22,100000.0
0.24,100000.0
0.26,100000.0
0.28,100000.0
0.3,100000.0
0.32,100000.0
0.34,100000.0
0.36,100000.0
0.38,100000.0
0.4,100000.0
0.42,100000.0
0.44,100000.0
0.46,100000.0
0.48,100000.0
0.5,100000.0
0.52,100000.0
0.54,100000.0
0.56,100000.0
0.58,100000.0
0.6,100000.0
0.62,100000.0
0.64,100000.0
0.66,100000.0
0.68,100000.0
0.7000000000000001,100000.0
0.72,100000.0
0.74,100000.0
0.76,100000.0
0.78,100000.0
0.8,100000.0
0.8200000000000001,100000.0
0.84,100000.0
0.86,100000.0
0.88,100000.0
0.9,100000.0
0.92,100000.0
0.9400000000000001,100000.0
0.96,100000.0
0.98,100000.0
1.0,100000.0
1.02,100000.0
1.04,100000.0
1.06,100000.0
1.08,100000.0
1.1,100000.0
1.12,100000.0
1.1400000000000001,100000.0
1.16,100000.0
1.18,100000.0
1.2,100000.0
1.22,100000.0
1.24,100000.0
1.26,100000.0
1.28,100000.0
1.3,100000.0
1.32,100000.0
1.34,100000.0
1.36,100000.0
1.3800000000000001,100000.0
1.4000000000000001,100000.0
1.42,100000.0
1.44,100000.0
1.46,100000.0
1.48,100000.0
1.5,100000.0
1.52,100000.0
1.54,100000.0
1.56,100000.0
1.58,100000.0
1.6,100000.0
1.62,100000.0
1.6400000000000001,100000.0
1.6600000000000001,100000.0
1.68,100000.0
1.7,100000.0
1.72,100000.0
1.74,100000.0
1.76,100000.0
1.78,100000.0
1.8,100000.0
1.82,100000.0
1.84,100000.0
1.86,100000.0
1.8800000000000001,100000.0
1.9000000000000001,100000.0
1.92,100000.0
1.94,100000.0
1.96,100000.0
1.98,100000.0
2.0,100000.0
2.02,100000.0
2.04,100000.0
2.06,100000.0
2.08,100000.0
2.1,100000.0
2.12,100000.0
2.14,100000.0
2.16,100000.0
2.18,100000.0
2.2,100000.0
2.22,100000.0
2.24,100000.0
2.2600000000000002,100000.0
2.2800000000000002,100000.0
2.3000000000000003,100000.0
2.32,100000.0
2.34,100000.0
2.36,100000.0
2.38,100000.0
2.4,100000.0
2.42,100000.0
2.44,100000.0
2.46,100000.0
2.48,100000.0
2.5,100000.0
2.52,100000.0
2.54,100000.0
2.56,100000.0
2.58,100000.0
2.6,100000.0
2.62,100000.0
2.64,100000.0
2.66,100000.0
2.68,100000.0
2.7,100000.0
2.72,100000.0
2.74,100000.0
2.7600000000000002,100000.0
2.7800000000000002,100000.0
2.8000000000000003,100000.0
2.82,100000.0
2.84,100000.0
2.86,100000.0
2.88,100000.0
2.9,100000.0
2.92,100000.0
2.94,100000.0
2.96,100000.0
2.98,100000.0
3.0,100000.0
3.02,100000.0
3.04,100000.0
3.06,100000.0
3.08,100000.0
3.1,100000.0
3.12,100000.0
3.14,100000.0
3.16,100000.0
3.18,100000.0
3.2,100000.0
3.22,100000.0
3.24,100000.0
3.2600000000000002,100000.0
3.2800000000000002,100000.0
3.3000000000000003,100000.0
3.3200000000000003,100000.0
3.34,100000.0
3.36,100000.0
3.38,100000.0
3.4,100000.0
3.42,100000.0
3.44,100000.0
3.46,100000.0
3.48,100000.0
3.5,100000.0
3.52,100000.0
3.54,100000.0
3.56,100000.0
3.58,100000.0
3.6,100000.0
3.62,100000.0
3.64,100000.0
3.66,100000.0
3.68,100000.0
3.7,100000.0
3.72,100000.0
3.74,100000.0
3.7600000000000002,100000.0
3.7800000000000002,100000.0
3.8000000000000003,100000.0
3.8200000000000003,100000.0
3.84,100000.0
3.86,100000.0
3.88,100000.0
3.9,100000.0
3.92,100000.0
3.94,100000.0
3.96,100000.0
3.98,100000.0
4.0,100000.0
4.0200000000000005,100000.0
4.04,100000.0
4.0600000000000005,100000.0
4.08,100000.0
4.1,100000.0
4.12,100000.0
4.14,100000.0
4.16,100000.0
4.18,100000.0
4.2,100000.0
4.22,100000.0
4.24,100000.0
4.26,100000.0
4.28,100000.0
4.3,100000.0
4.32,100000.0
4.34,100000.0
4.36,100000.0
4.38,100000.0
4.4,100000.0
4.42,100000.0
4.44,100000.0
4.46,100000.0
4.48,100000.0
4.5,100000.0
4.5200000000000005,100000.0
4.54,100000.0
4.5600000000000005,100000.0
4.58,100000.0
4.6000000000000005,100000.0
4.62,100000.0
4.64,100000.0
4.66,100000.0
4.68,100000.0
4.7,100000.0
4.72,100000.0
4.74,100000.0
4.76,100000.0
4.78,100000.0
4.8,100000.0
4.82,100000.0
4.84,100000.0
4.86,100000.0
4.88,100000.0
4.9,100000.0
4.92,100000.0
4.94,100000.0
4.96,100000.0
4.98,100000.0
5.0,100000.0
5.0200000000000005,100000.0
5.04,100000.0
5.0600000000000005,100000.0
5.08,100000.0
5.1000000000000005,100000.0
5.12,100000.0
5.14,100000.0
5.16,100000.0
5.18,100000.0
5.2,100000.0
5.22,100000.0
5.24,100000.0
5.26,100000.0
5.28,100000.0
5.3,100000.0
5.32,100000.0
5.34,100000.0
5.36,100000.0
5.38,100000.0
5.4,100000.0
5.42,100000.0
5.44,100000.0
