t,pressure
0,93912.5
0.02,94547.70000000001
0.04,94618.3
0.06,94467.5
0.08,95537.8
0.1,94147.6
0.12,94839.40000000001
0.14,93627.1
0.16,94778.5
0.18,94190.5
0.2,94905.0
0.22,94931.0
0.24,95076.40000000001
0.26,94187.90000000001
0.28,94873.0
0.3,94934.8
0.32,94281.90000000001
0.34,94527.0
0.36,94857.5
0.38,94992.5
0.4,94675.0
0.42,94602.3
0.44,94502.5
0.46,94299.1
0.48,95507.0
0.5,94258.90000000001
0.52,94644.0
0.54,94049.20000000001
0.56,94214.8
0.58,94247.8
0.6,94150.1
0.62,94406.0
0.64,94892.8
0.66,94618.3
0.68,94757.3
0.7000000000000001,94620.5
0.72,94982.8
0.74,94386.90000000001
0.76,93713.70000000001
0.78,94912.90000000001
0.8,94777.40000000001
0.8200000000000001,94296.6
0.84,94223.3
0.86,94213.6
0.88,94083.0
0.9,94347.8
0.92,94389.1
0.9400000000000001,94497.40000000001
0.96,94232.8
0.98,94412.0
1.0,95064.20000000001
1.02,94747.8
1.04,94315.8
1.06,94528.40000000001
1.08,94561.90000000001
1.1,95036.5
1.12,94893.0
1.1400000000000001,94498.40000000001
1.16,94288.0
1.18,94278.70000000001
1.2,94525.0
1.22,94331.40000000001
1.24,94153.70000000001
1.26,94926.20000000001
1.28,94169.0
1.3,94371.70000000001
1.32,93838.8
1.34,94511.20000000001
1.36,95102.1
1.3800000000000001,93996.1
1.4000000000000001,94427.40000000001
1.42,94543.5
1.44,95050.20000000001
1.46,94883.6
1.48,94336.40000000001
1.5,94382.3
1.52,94549.8
1.54,93968.8
1.56,94913.6
1.58,94610.20000000001
1.6,94383.3
1.62,94751.90000000001
1.6400000000000001,94175.5
1.6600000000000001,94835.40000000001
1.68,94159.5
1.7,94881.5
1.72,94006.20000000001
1.74,94567.8
1.76,93907.90000000001
1.78,94203.3
1.8,94299.8
1.82,94368.40000000001
1.84,94738.3
1.86,94728.5
1.8800000000000001,93984.20000000001
1.9000000000000001,95009.70000000001
1.92,94241.70000000001
1.94,94276.40000000001
1.96,94365.6
1.98,94371.70000000001
2.0,94741.5
2.02,94518.8
2.04,95263.8
2.06,94330.8
2.08,94398.70000000001
2.1,94681.40000000001
2.12,94557.1
2.14,94340.40000000001
2.16,94003.40000000001
2.18,94128.90000000001
2.2,94496.1
2.22,95180.70000000001
2.24,94709.70000000001
2.2600000000000002,94589.6
2.2800000000000002,94641.70000000001
2.3000000000000003,94247.20000000001
2.32,94809.3
2.34,94606.8
2.36,94603.6
2.38,95146.8
2.4,94535.5
2.42,95004.5
2.44,94117.90000000001
2.46,94465.8
2.48,94111.8
2.5,93864.40000000001
2.52,93756.70000000001
2.54,94907.40000000001
2.56,94512.5
2.58,94975.1
2.6,93999.8
2.62,94678.6
2.64,95325.1
2.66,94473.6
2.68,94323.20000000001
2.7,94681.5
2.72,94104.0
2.74,94201.90000000001
2.7600000000000002,94682.40000000001
2.7800000000000002,94353.6
2.8000000000000003,94680.70000000001
2.82,94022.1
2.84,94089.6
2.86,94579.8
2.88,94576.70000000001
2.9,94405.90000000001
2.92,95095.5
2.94,93822.8
2.96,94547.0
2.98,94151.70000000001
3.0,94664.0
3.02,94350.3
3.04,94593.3
3.06,94413.6
3.08,94481.70000000001
3.1,94409.1
3.12,94358.0
3.14,94217.90000000001
3.16,94854.0
3.18,93828.90000000001
3.2,95075.70000000001
3.22,95069.3
3.24,93957.40000000001
3.2600000000000002,94538.90000000001
3.2800000000000002,93873.20000000001
3.3000000000000003,94813.3
3.3200000000000003,94782.40000000001
3.34,94379.70000000001
3.36,94641.90000000001
3.38,93945.90000000001
3.4,94720.0
3.42,95047.20000000001
3.44,94032.70000000001
3.46,94314.5
3.48,95298.5
3.5,94858.1
3.52,94646.6
3.54,94729.6
3.56,95224.70000000001
3.58,95810.90000000001
3.6,94724.0
3.62,94321.20000000001
3.64,93995.70000000001
3.66,94405.8
3.68,94493.40000000001
3.7,94268.40000000001
3.72,94102.6
3.74,93898.3
3.7600000000000002,95157.0
3.7800000000000002,94547.6
3.8000000000000003,94055.70000000001
3.8200000000000003,95254.8
3.84,94563.5
3.86,94280.3
3.88,94469.90000000001
3.9,94241.6
3.92,94816.3
3.94,94147.6
3.96,94461.20000000001
3.98,94162.70000000001
4.0,94653.5
4.0200000000000005,93891.40000000001
4.04,94080.20000000001
4.0600000000000005,94995.8
4.08,94415.40000000001
4.1,94334.20000000001
4.12,94243.5
4.14,94911.5
4.16,94665.5
4.18,94751.20000000001
4.2,94584.3
4.22,94802.8
4.24,95018.1
4.26,94529.70000000001
4.28,94339.8
4.3,94044.90000000001
4.32,94453.5
4.34,94229.40000000001
4.36,94603.8
4.38,94809.1
4.4,94170.20000000001
4.42,94249.90000000001
4.44,94992.20000000001
4.46,94772.20000000001
4.48,94491.3
4.5,93901.6
4.5200000000000005,94220.5
4.54,94632.6
4.5600000000000005,94566.1
4.58,94404.5
4.6000000000000005,94076.3
4.62,94876.3
4.64,95026.20000000001
4.66,94565.3
4.68,94277.1
4.7,94538.3
4.72,94314.70000000001
4.74,95319.8
4.76,93640.6
4.78,94371.5
4.8,94567.0
4.82,93840.20000000001
4.84,94845.5
4.86,94318.90000000001
4.88,94169.20000000001
4.9,93995.70000000001
4.92,94232.40000000001
4.94,94880.70000000001
4.96,94216.70000000001
4.98,93744.6
5.0,94542.1
5.0200000000000005,94245.6
5.04,94291.6
