# Simulation 2 (Up to date)
# 361 data points written for 4 variables.
#
# Massa (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CG (cm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2470.557,0.131,0.004,39.268
2470.117,0.131,0.004,39.263
2469.677,0.131,0.004,39.258
2469.236,0.131,0.004,39.253
2468.796,0.131,0.004,39.248
2468.356,0.131,0.004,39.244
2467.463,0.131,0.004,39.234
# Event LIFTOFF occurred at t=0.07 seconds
2466.571,0.131,0.004,39.224
2466.124,0.131,0.004,39.219
2465.435,0.131,0.004,39.211
2464.516,0.131,0.004,39.201
2463.827,0.13,0.004,39.193
2462.858,0.13,0.004,39.182
2461.889,0.13,0.004,39.171
2460.92,0.13,0.004,39.16
2459.95,0.13,0.004,39.149
2458.981,0.13,0.004,39.139
2458.012,0.13,0.004,39.128
2457.043,0.13,0.004,39.117
2456.073,0.13,0.004,39.106
2455.104,0.13,0.004,39.095
2454.135,0.13,0.004,39.084
2453.105,0.13,0.004,39.072
2452.075,0.13,0.004,39.061
2451.045,0.129,0.004,39.049
2450.014,0.129,0.004,39.037
2448.984,0.129,0.004,39.026
# Event LAUNCHROD occurred at t=0.26 seconds
2447.954,0.129,0.004,39.014
2446.409,0.129,0.004,38.996
2443.834,0.129,0.004,38.967
2439.788,0.129,0.004,38.921
2435.497,0.128,0.004,38.872
2433.045,0.128,0.004,38.844
2429.219,0.128,0.004,38.8
2425.029,0.127,0.004,38.751
2421.821,0.127,0.004,38.714
2416.868,0.127,0.004,38.657
2411.091,0.126,0.004,38.589
2410.267,0.126,0.004,38.579
2408.998,0.126,0.004,38.565
2407.095,0.126,0.004,38.542
2404.241,0.126,0.004,38.509
2399.959,0.125,0.004,38.458
2398.4,0.125,0.004,38.44
2395.999,0.125,0.004,38.411
2393.34,0.125,0.004,38.38
2391.098,0.125,0.004,38.353
2389.067,0.124,0.004,38.329
2387.152,0.124,0.004,38.306
2386.219,0.124,0.004,38.295
2384.8,0.124,0.004,38.278
2382.904,0.124,0.004,38.255
2380.92,0.124,0.004,38.232
2378.764,0.124,0.004,38.206
2376.317,0.123,0.004,38.176
2373.864,0.123,0.004,38.147
2370.15,0.123,0.004,38.102
2364.579,0.122,0.004,38.034
2361.388,0.122,0.004,37.995
2359.456,0.122,0.004,37.972
2357.766,0.122,0.004,37.951
2356.197,0.122,0.004,37.932
2354.684,0.121,0.004,37.913
2353.162,0.121,0.004,37.895
2351.548,0.121,0.004,37.875
2349.75,0.121,0.004,37.853
2349.051,0.121,0.004,37.844
2348.013,0.121,0.004,37.831
2346.456,0.121,0.004,37.812
2344.122,0.121,0.004,37.783
2340.619,0.12,0.004,37.74
2336.853,0.12,0.004,37.693
2334.689,0.12,0.004,37.666
2332.974,0.12,0.004,37.644
2331.422,0.119,0.004,37.625
2329.927,0.119,0.004,37.606
2328.423,0.119,0.004,37.587
2326.832,0.119,0.004,37.568
