Calibration (sys),Calibration (gyro),Calibration (accel),Calibration (mag),Spin (psi) [deg],Nutation (theta) [deg],Precession (phi) [deg],Angular velocity (x),Angular velocity (y),Angular velocity (z),Linear acceleration (x),Linear acceleration (y),Linear acceleration (z),Inertial acceleration (x),Inertial acceleration (y),Inertial acceleration (z),Acceleration (x),Acceleration (y),Acceleration (z),Gravity (x),Gravity (y),Gravity (z),Magnetometer (x),Magnetometer (y),Magnetometer (z),Quaternion (w),Quaternion (x),Quaternion (y),Quaternion (z),Pressure [Pa],Temperature [K],Altitude [m],Time [s]
calibration_sys,calibration_gyro,calibration_accel,calibration_mag,orientation_x,orientation_y,orientation_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,inertial_acceleration_x,inertial_acceleration_y,inertial_acceleration_z,acceleration_x,acceleration_y,acceleration_z,gravity_x,gravity_y,gravity_z,magnetometer_x,magnetometer_y,magnetometer_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,pressure,temperature,altitude,timestamp
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0244,-9.7465,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97576.60,286.07,320.00,0.0000
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,12.0333,0.7393,-1.0176,11.9674,-0.0000,1.0244,2.2868,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97576.57,286.07,320.00,0.0286
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,38.7112,2.3784,-3.2736,38.4991,-0.0000,1.0244,28.9647,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97576.27,286.07,320.03,0.0571
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,38.9558,2.3935,-3.2943,38.7424,0.0000,1.0244,29.2093,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97575.62,286.07,320.08,0.0857
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,47.8075,2.9373,-4.0429,47.5456,-0.0000,1.0244,38.0610,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97574.55,286.07,320.18,0.1143
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,51.3974,3.1579,-4.3464,51.1158,-0.0000,1.0244,41.6509,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97573.01,286.07,320.31,0.1429
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.5463,3.2899,-4.5282,53.2530,0.0000,1.0244,43.7998,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97570.97,286.07,320.48,0.1714
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,54.0067,3.3182,-4.5671,53.7109,0.0000,1.0244,44.2602,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97568.42,286.07,320.70,0.2000
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,54.3155,3.3372,-4.5932,54.0180,0.0000,1.0244,44.5690,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97565.36,286.07,320.96,0.2286
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,54.2680,3.3342,-4.5892,53.9707,0.0000,1.0244,44.5215,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97561.78,286.07,321.27,0.2571
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,54.2034,3.3303,-4.5837,53.9065,0.0000,1.0244,44.4570,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97557.70,286.06,321.62,0.2857
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,54.1379,3.3262,-4.5782,53.8413,0.0000,1.0244,44.3914,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97553.09,286.06,322.02,0.3143
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,54.0875,3.3232,-4.5739,53.7912,-0.0000,1.0244,44.3410,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97547.98,286.06,322.46,0.3429
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,54.2845,3.3353,-4.5906,53.9872,-0.0000,1.0244,44.5381,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2750,0.308593,-0.016173,0.049774,-0.949753,97542.36,286.05,322.94,0.3714
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,54.5640,3.3524,-4.6142,54.2650,-0.0000,1.0244,44.8175,0.0000,1.0244,-9.7465,-14.9577,-16.2459,-38.2749,0.308593,-0.016173,0.049774,-0.949753,97536.22,286.05,323.47,0.4000
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8433,3.3696,-4.6378,54.5428,0.0000,1.0244,45.0968,0.0000,1.0244,-9.7465,-14.9576,-16.2459,-38.2749,0.308593,-0.016173,0.049774,-0.949753,97529.56,286.05,324.04,0.4286
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,55.1227,3.3868,-4.6615,54.8208,-0.0000,1.0244,45.3762,0.0000,1.0244,-9.7465,-14.9576,-16.2459,-38.2749,0.308593,-0.016173,0.049774,-0.949753,97522.38,286.04,324.65,0.4571
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,55.4021,3.4039,-4.6851,55.0986,-0.0000,1.0244,45.6556,0.0000,1.0244,-9.7465,-14.9576,-16.2459,-38.2749,0.308593,-0.016173,0.049774,-0.949753,97514.68,286.04,325.31,0.4857
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,55.6816,3.4211,-4.7087,55.3765,-0.0000,1.0244,45.9351,0.0000,1.0244,-9.7465,-14.9576,-16.2459,-38.2749,0.308593,-0.016173,0.049774,-0.949753,97506.46,286.03,326.02,0.5143
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,55.9565,3.4380,-4.7320,55.6499,-0.0000,1.0244,46.2100,0.0000,1.0244,-9.7465,-14.9576,-16.2459,-38.2749,0.308593,-0.016173,0.049774,-0.949753,97497.70,286.03,326.77,0.5429
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,56.0951,3.4465,-4.7437,55.7878,0.0000,1.0244,46.3486,0.0000,1.0244,-9.7465,-14.9576,-16.2459,-38.2749,0.308593,-0.016173,0.049774,-0.949753,97488.42,286.02,327.57,0.5714
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,56.1680,3.4510,-4.7499,55.8603,-0.0000,1.0244,46.4215,0.0000,1.0244,-9.7465,-14.9576,-16.2459,-38.2749,0.308593,-0.016173,0.049774,-0.949753,97478.61,286.02,328.41,0.6000
3,3,3,3,0.0000,-6.0000,-144.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.2402,3.4554,-4.7560,55.9321,0.0000,1.0244,46.4938,0.0000,1.0244,-9.7465,-14.9576,-16.2459,-38.2748,0.308593,-0.016173,0.049774,-0.949753,97468.27,286.01,329.30,0.6286
3,3,3,3,0.0000,-6.0000,-144.0000,-0.0000,-0.0000,0.0000,-0.0000,0.6085,56.3105,3.8154,-5.2515,55.9384,-0.0000,1.6329,46.5640,0.0000,1.0244,-9.7465,-14.9576,-16.2459,-38.2748,0.308593,-0.016173,0.049774,-0.949753,97457.39,286.01,330.23,0.6571
3,3,3,3,0.0000,-6.0001,-144.0000,-0.0001,-0.0000,0.0000,0.0000,1.0213,56.3804,4.0611,-5.5896,55.9648,0.0000,2.0457,46.6340,0.0000,1.0244,-9.7464,-14.9576,-16.2458,-38.2748,0.308593,-0.016173,0.049775,-0.949753,97445.98,286.00,331.21,0.6857
3,3,3,3,0.0000,-6.0003,-144.0000,-0.0002,-0.0000,0.0000,-0.0000,1.0180,56.4507,4.0637,-5.5931,56.0350,-0.0000,2.0425,46.7042,0.0000,1.0245,-9.7464,-14.9576,-16.2456,-38.2749,0.308593,-0.016174,0.049777,-0.949753,97434.04,285.99,332.24,0.7143
3,3,3,3,0.0000,-6.0009,-144.0000,-0.0005,-0.0000,0.0000,0.0000,1.0145,56.5203,4.0662,-5.5967,56.1045,0.0000,2.0391,46.7739,-0.0000,1.0246,-9.7464,-14.9576,-16.2452,-38.2750,0.308593,-0.016175,0.049782,-0.949753,97421.57,285.99,333.31,0.7429
3,3,3,3,-0.0000,-6.0020,-144.0000,-0.0008,-0.0000,-0.0000,-0.0000,1.0108,56.5742,4.0680,-5.5991,56.1583,-0.0000,2.0355,46.8278,0.0000,1.0247,-9.7464,-14.9576,-16.2445,-38.2753,0.308593,-0.016178,0.049791,-0.949752,97408.57,285.98,334.42,0.7714
3,3,3,3,0.0000,-6.0037,-144.0000,-0.0012,-0.0000,0.0000,0.0000,1.0069,56.5698,4.0664,-5.5969,56.1542,0.0000,2.0319,46.8234,0.0000,1.0250,-9.7464,-14.9576,-16.2434,-38.2758,0.308593,-0.016183,0.049805,-0.949752,97395.03,285.97,335.59,0.8000
3,3,3,3,0.0000,-6.0061,-144.0000,-0.0018,-0.0000,0.0000,-0.0000,1.0028,56.5588,4.0647,-5.5946,56.1434,-0.0000,2.0282,46.8125,-0.0000,1.0254,-9.7463,-14.9576,-16.2417,-38.2764,0.308593,-0.016189,0.049825,-0.949750,97380.96,285.96,336.79,0.8286
3,3,3,3,0.0000,-6.0095,-144.0000,-0.0024,-0.0000,0.0000,0.0000,0.9986,56.5469,4.0635,-5.5929,56.1317,0.0000,2.0246,46.8007,0.0000,1.0260,-9.7463,-14.9576,-16.2395,-38.2774,0.308592,-0.016198,0.049853,-0.949749,97366.36,285.96,338.05,0.8571
3,3,3,3,0.0000,-6.0139,-144.0000,-0.0031,-0.0000,0.0000,0.0000,0.9943,56.5342,4.0628,-5.5919,56.1189,0.0000,2.0211,46.7880,0.0000,1.0268,-9.7462,-14.9575,-16.2365,-38.2786,0.308592,-0.016210,0.049890,-0.949747,97351.22,285.95,339.35,0.8857
3,3,3,3,0.0000,-6.0196,-144.0000,-0.0039,-0.0000,0.0000,-0.0000,0.9901,56.5205,4.0627,-5.5919,56.1050,-0.0000,2.0179,46.7745,0.0000,1.0277,-9.7461,-14.9575,-16.2327,-38.2802,0.308591,-0.016226,0.049937,-0.949745,97335.55,285.94,340.69,0.9143
3,3,3,3,0.0000,-6.0268,-144.0000,-0.0048,-0.0000,-0.0000,-0.0000,0.9860,56.5060,4.0635,-5.5930,56.0902,-0.0000,2.0150,46.7601,0.0000,1.0289,-9.7459,-14.9575,-16.2279,-38.2822,0.308590,-0.016245,0.049996,-0.949741,97319.35,285.93,342.08,0.9429
